date, pm25, pm10, o3, no2, so2, co
3/19/2020,333,144,19,10,3,6
3/20/2020,217,106,30,10,3,6
3/21/2020,194,136,11,7,2,7
3/22/2020,99,71,10,6,4,5
3/23/2020,121,94,8,4,3,4
3/24/2020,79,84,26,7,2,6
3/25/2020,153,99,23,6,2,5
3/26/2020,150,74,15,3,1,4
3/27/2020,133,59,16,3,1,4
3/28/2020,81,77,25,5,2,7
3/29/2020,117,72,11,4,3,3
3/30/2020,112,51,15,3,2,3
3/31/2020,83,71,20,6,3,3
4/1/2020,114,56,13,5,1,4
4/2/2020,85,50,23,4,2,4
4/3/2020,82,65,15,4,3,4
4/4/2020,94,52,13,3,3,4
4/5/2020,67,48,14,5,2,4
4/6/2020,68,38,14,3,2,3
4/7/2020,68,60,20,3,2,4
4/8/2020,100,73,25,6,1,4
4/9/2020,111,57,7,7,2,4
4/10/2020,95,57,18,5,2,4
4/11/2020,110,60,11,4,3,4
4/12/2020,113,44,11,3,2,3
4/13/2020,79,40,12,2,2,3
4/14/2020,69,43,13,2,1,3
4/15/2020,70,49,12,3,2,3
4/16/2020,83,59,16,4,2,4
4/17/2020,103,54,11,6,2,4
4/18/2020,79,45,8,6,2,4
4/19/2020,56,47,6,6,1,4
4/20/2020,58,43,7,4,1,4
4/21/2020,58,58,9,4,2,4
4/22/2020,64,70,14,6,1,4
4/23/2020,94,85,13,8,1,5
4/24/2020,186,69,11,6,1,4
4/25/2020,126,53,9,5,1,5
4/26/2020,111,59,16,4,1,4
4/27/2020,119,57,8,5,1,4
4/28/2020,105,58,22,5,1,5
4/29/2020,114,56,14,4,2,4
4/30/2020,101,57,13,4,1,4
5/1/2020,78,42,7,2,1,3
5/2/2020,56,56,9,4,1,4
5/3/2020,75,67,2,7,1,13
5/4/2020,90,46,9,4,1,2
5/5/2020,89,30,7,1,1,4
5/6/2020,38,39,8,2,2,4
5/7/2020,52,51,12,6,1,4
5/8/2020,61,55,13,6,2,4
5/9/2020,64,52,10,4,2,4
5/10/2020,64,63,9,4,1,4
5/11/2020,92,79,11,5,2,4
5/12/2020,122,67,7,3,1,3
5/13/2020,100,48,10,2,1,3
5/14/2020,67,51,10,4,1,5
5/15/2020,76,73,15,6,2,5
5/16/2020,109,70,8,4,1,4
5/17/2020,96,74,9,4,1,3
5/18/2020,89,87,9,4,1,4
5/19/2020,99,85,10,5,2,3
5/20/2020,99,89,12,8,2,4
5/21/2020,131,79,12,6,2,3
5/22/2020,114,82,16,6,2,4
5/23/2020,120,81,13,7,3,4
5/24/2020,117,74,7,6,2,4
5/25/2020,91,60,10,3,1,3
5/26/2020,60,68,10,5,2,3
5/27/2020,76,77,11,5,2,4
5/28/2020,101,82,14,5,4,4
5/29/2020,115,90,12,5,2,5
5/30/2020,143,91,4,5,1,5
5/31/2020,150,75,3,4, ,6
6/1/2020,139,63,3,4,2,9
6/2/2020,99,60,2,4,2,4
6/3/2020,83,38,3,3,1,3
6/4/2020,51,36,2,2,1,2
6/5/2020,48,29,3,1,1,3
6/6/2020,38,30,2,2,1,3
6/7/2020,32,57,2,6,2,3
6/8/2020,84,70,2,4,1,3
6/9/2020,107,111,1,6,2,5
6/10/2020,155,71,1,4,2,5
6/11/2020,107,57,1,4,1,3
6/12/2020,94,32,1,2,2,3
6/13/2020,55,30,1,1,2,3
6/14/2020,52,30,1,2,1,3
